,frecuencia,S1,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S2_7
58,7836750000.0,(-0.03159157952152684-0.02763336478075932j),(-0.018254430177700683-0.010060066901420125j),(-0.03384137695089882-0.018345996131875653j),(-0.009888958421701847+0.015440616985374312j),(-0.013864538968580382+0.013489074919089093j),(-0.035264148548431504+0.004872763515722625j),(-0.04281510441332614+0.009309554618157155j),(-0.012759121955650408-0.006119720066980504j)
59,7859531250.0,(-0.06312300225127303-0.02926298907175021j),(-0.0316241435597201-0.009432741293857972j),(-0.05236861751135671-0.00967235946688133j),(-0.00834656674735086+0.007725304914242193j),(-0.014410254519113437+0.008893921425659625j),(-0.04018474386059522+0.014287704780740528j),(-0.045796225498298544+0.02043566211668279j),(-0.024470972533653733-0.013403241608193115j)
60,7882312500.0,(-0.09027325808732617+0.006699578620015527j),(-0.04127110518575677-0.005252972173685687j),(-0.06234267539210911+0.008274190427759214j),(-0.011409545640686797-0.00493467698841398j),(-0.015168545198693484-0.00046191379274501394j),(-0.03490584138225536+0.022441833474043504j),(-0.0383389906552493+0.030198224145894827j),(-0.04005473766740093-0.013161618737240071j)
61,7905093750.0,(-0.07490474815709283+0.05231861375140834j),(-0.04705899716330045+0.005261564403839696j),(-0.0577102455669324+0.03152529049812844j),(-0.01995006025007719-0.009226805749558968j),(-0.023090086278657978-0.0044992643778491975j),(-0.02456685620720079+0.027048738791225276j),(-0.025978241878679042+0.03668021704279787j),(-0.05037505960470559-0.002635364022292948j)
62,7927875000.0,(-0.035601223023895984+0.06817962156525766j),(-0.047015068065936874+0.011881661715163232j),(-0.0405915895449233+0.04270814048396735j),(-0.026941821317683398-0.016955792781565268j),(-0.029102093652612196-0.008409227654708543j),(-0.012768009183362492+0.019298406950929728j),(-0.009462381140775335+0.03179364432854635j),(-0.056836092818974844+0.006887898302912558j)
63,7950656250.0,(-0.0033982059445828187+0.05592543792106575j),(-0.05030594073286429+0.022962713227183205j),(-0.0250709764903524+0.04744433217207049j),(-0.04647699056640739-0.01734724628677396j),(-0.04291844559505706-0.006836629437424447j),(-0.012389236039851084+0.00925697057210389j),(-0.0002489999062686974+0.02082987361153417j),(-0.06015960297940826+0.026400865362141198j)
64,7973437500.0,(0.008797047221331032+0.03416011511954671j),(-0.038741259691173605+0.03454235094038829j),(-0.0005096630535679296+0.04063640511651655j),(-0.05838282660705293-0.008084727932648262j),(-0.04892073345759264-0.00012076439047849653j),(-0.011350374773242734-0.0029014562073726743j),(0.00859338210111768-0.0002303445649625424j),(-0.04539142297691193+0.040456023821516515j)
65,7996218750.0,(0.012944050235474397+0.020593211682207027j),(-0.033805495504784344+0.03013073993334587j),(0.002708885303035711+0.01145410343666061j),(-0.07929704029416025+0.002668611587390055j),(-0.06608591962697336+0.0049588690415715625j),(-0.032340958090465895-0.020218643186747966j),(-0.0133174868214579-0.03038737326278166j),(-0.037286891724970087+0.0423626903709783j)
66,8019000000.0,(0.021884577012940862-0.002712570295219115j),(-0.03690871061831005+0.04382060356381138j),(-0.01770029072106679+0.008280299740043195j),(-0.09153349524935783+0.04720536115026601j),(-0.07729593014632036+0.04146054626380631j),(-0.06218352533213288-0.00232188806768621j),(-0.05017101441685498-0.021279062904456178j),(-0.026657691987010356+0.05376944250893881j)
67,8041781250.0,(0.0017245492956673848-0.040350308465035525j),(-0.009328198659888893+0.05798498719163187j),(-0.009285628790019545+0.017933373605607896j),(-0.05525487267726683+0.08989880851221191j),(-0.04730830757420718+0.07381236685541226j),(-0.058875389575902395+0.025540940130276357j),(-0.05759406031602618-0.000259912997088582j),(7.774099235338867e-05+0.05372771848535261j)
68,8064562500.0,(-0.04687878334125975-0.04422474403292809j),(0.02094888072717841+0.032826618898023914j),(-0.0008185043918211745-0.0065045590193215305j),(-0.0010241600340759461+0.08845634754473952j),(-0.007830559377282387+0.07136016870622273j),(-0.04775681587924431+0.03257338159245128j),(-0.06320349290176946+0.008937278138745838j),(0.022196989758649463+0.028081611460722605j)
69,8087343750.0,(-0.07589324300638264-0.016562962481654314j),(0.011036225897848192-0.007180971868143137j),(-0.03384699889668069-0.02822824492878286j),(0.026999075840089284+0.051614715808194676j),(0.010931708826829806+0.04398103289165492j),(-0.04958273030031144+0.03558808104701691j),(-0.07370350094380307+0.02456227958683889j),(0.01045720190172773-0.011505220224742554j)
70,8110125000.0,(-0.09068134302562376+0.01191585813486289j),(-0.0260745073323502-0.014600199004319657j),(-0.07496479760451646-0.0057842717394038755j),(0.0202865740123335+0.02373266798558209j),(0.0011896700099732118+0.029273665406348917j),(-0.053941248512744525+0.05755135510692817j),(-0.080692132954827+0.0563406131512328j),(-0.03059671762436844-0.015534257905926378j)
71,8132906250.0,(-0.0974911871026223+0.056497539563665086j),(-0.0440735999309783+0.005876945259876076j),(-0.0821913812734902+0.039777212688697605j),(0.015713443555591095+0.010454916877447635j),(0.007050781193667744+0.03039015071518474j),(-0.026500233049867053+0.085588898476139j),(-0.055040594385314126+0.09879266916242374j),(-0.04376426134647417+0.00831432770491266j)
72,8155687500.0,(-0.0660123916829223+0.10786785831083372j),(-0.04970149898882434+0.021153053054206023j),(-0.06313478244297438+0.07476628232331042j),(0.0003051229790750807-0.006986659038578428j),(0.008694477964832172+0.009904915593234571j),(0.012612491633107294+0.07976950998467958j),(-0.005581496935126595+0.10829565949671456j),(-0.04922399444518275+0.018242530099506847j)
73,8178468750.0,(-0.0027070755173623454+0.1248773624443027j),(-0.053047592843251+0.04905336600303911j),(-0.03072810276127263+0.10124828168000265j),(-0.022341649188506688+0.0006486006768042919j),(-0.009636804369111768+0.007133495004921719j),(0.03596194160408095+0.06262069053117175j),(0.03332894512876743+0.09759446912505268j),(-0.05685799756360797+0.04846872338422166j)
74,8201250000.0,(0.05381818868727313+0.09708938668410755j),(-0.023186317807232158+0.07794649562636599j),(0.023838665268853705+0.10691227834938766j),(-0.02133046503304863+0.015122390875619032j),(-0.00983426701339518+0.013930061273316125j),(0.0600578259406737+0.03409419200933164j),(0.0763035796565967+0.07043129601020803j),(-0.0240739272256955+0.0790474275338762j)
75,8224031250.0,(0.07591370450065107+0.048013792163677946j),(0.01889999841747497+0.06856220167854427j),(0.07290788395710546+0.06780426541872928j),(-0.015396779885004026+0.012954390124251553j),(-0.010344700195144215+0.00918042271006551j),(0.05948529895135489-0.015579537689182448j),(0.09769809280099803+0.008298689893048909j),(0.016409382254329478+0.06654621174585905j)
76,8246812500.0,(0.07255844467206125+0.011951674182017475j),(0.033228144726543965+0.03727148691644405j),(0.07956332663988805+0.008180202317596343j),(-0.027022589813828893+0.005421887748969353j),(-0.02098470786282677+0.004865815881307892j),(0.020629632757670446-0.054053020029506425j),(0.06784597555372662-0.05700623884240913j),(0.026041120831798586+0.03961120513875175j)
