000+0.375,+0.029,+13.3,+55.9,+0.024,+25.852,+8.769,+25.772,+10.445


000+0.373,+0.029,+13.3,+55.9,+0.025,+25.603,+8.877,+25.524,+10.574


000+0.373,+0.029,+13.4,+56.1,+0.025,+25.603,+8.877,+25.524,+10.574


000+0.375,+0.029,+13.4,+56.1,+0.024,+25.855,+8.770,+25.779,+10.436


000+0.375,+0.029,+13.4,+56.1,+0.024,+25.855,+8.770,+25.779,+10.436


000+0.378,+0.029,+13.4,+56.1,+0.024,+26.104,+8.660,+26.026,+10.306


000+0.375,+0.030,+13.4,+56.1,+0.025,+25.835,+8.985,+25.759,+10.692


000+0.375,+0.030,+13.4,+56.1,+0.025,+25.835,+8.985,+25.759,+10.692


000+0.378,+0.029,+13.4,+56.1,+0.024,+26.107,+8.661,+26.033,+10.296


000+0.378,+0.029,+13.4,+56.1,+0.024,+26.107,+8.661,+26.033,+10.296


000+0.375,+0.030,+13.4,+56.1,+0.025,+25.835,+8.985,+25.759,+10.692


000+0.378,+0.029,+13.4,+56.1,+0.024,+26.107,+8.661,+26.033,+10.296


000+0.375,+0.029,+13.4,+56.1,+0.024,+25.858,+8.770,+25.785,+10.426
