000+0.350,+0.026,+13.3,+55.9,+0.022,+23.532,+7.984,+23.457,+9.519


000+0.347,+0.027,+13.3,+55.9,+0.023,+23.277,+8.276,+23.205,+9.858


000+0.347,+0.027,+13.3,+55.9,+0.023,+23.277,+8.276,+23.205,+9.858


000+0.349,+0.027,+13.4,+56.1,+0.023,+23.506,+8.181,+23.433,+9.744


000+0.347,+0.027,+13.4,+56.1,+0.023,+23.277,+8.276,+23.205,+9.858


000+0.347,+0.027,+13.3,+55.9,+0.023,+23.277,+8.276,+23.205,+9.858


000+0.349,+0.027,+13.3,+55.9,+0.023,+23.506,+8.181,+23.433,+9.744


000+0.348,+0.027,+13.3,+55.9,+0.023,+23.345,+8.290,+23.273,+9.874


000+0.348,+0.027,+13.3,+55.9,+0.023,+23.345,+8.290,+23.273,+9.874
